date,time,code,open,high,low,close,volume,amount,adjustflag
2012-08-08,20120808150000000,sh.600000,3.6037983200,3.6037983200,3.5852220400,3.5898661100,15042700,116436043.0000,2
2012-08-09,20120809103000000,sh.600000,3.5991542500,3.5991542500,3.5759339000,3.5759339000,5970200,46099655.0000,2
2012-08-09,20120809113000000,sh.600000,3.5759339000,3.5945101800,3.5712898300,3.5898661100,6181200,47679324.0000,2
2012-08-09,20120809140000000,sh.600000,3.5945101800,3.6037983200,3.5852220400,3.5945101800,8521000,65993043.0000,2
2012-08-09,20120809150000000,sh.600000,3.5991542500,3.6037983200,3.5898661100,3.5991542500,11815700,91568965.0000,2
2012-08-10,20120810103000000,sh.600000,3.6177305300,3.6455949500,3.6177305300,3.6316627400,22194500,173563338.0000,2
2012-08-10,20120810113000000,sh.600000,3.6316627400,3.6409508800,3.6223746000,3.6270186700,9251200,72325745.0000,2
2012-08-10,20120810140000000,sh.600000,3.6316627400,3.6316627400,3.6177305300,3.6223746000,6506100,50770188.0000,2
2012-08-10,20120810150000000,sh.600000,3.6270186700,3.6270186700,3.6130864600,3.6223746000,8828700,68841624.0000,2
2012-08-13,20120813103000000,sh.600000,3.6223746000,3.6270186700,3.6084423900,3.6177305300,8183300,63783595.0000,2
2012-08-13,20120813113000000,sh.600000,3.6177305300,3.6270186700,3.6130864600,3.6223746000,7686400,59946550.0000,2
2012-08-13,20120813140000000,sh.600000,3.6223746000,3.6363068100,3.6177305300,3.6316627400,10954400,85570224.0000,2
2012-08-13,20120813150000000,sh.600000,3.6270186700,3.6316627400,3.5945101800,3.5991542500,20455500,159178060.0000,2
2012-08-14,20120814103000000,sh.600000,3.6037983200,3.6223746000,3.5991542500,3.6084423900,13795300,107255638.0000,2
2012-08-14,20120814113000000,sh.600000,3.6084423900,3.6130864600,3.5898661100,3.6084423900,7081200,54899529.0000,2
2012-08-14,20120814140000000,sh.600000,3.6037983200,3.6084423900,3.5898661100,3.6084423900,5188000,40185936.0000,2
2012-08-14,20120814150000000,sh.600000,3.6037983200,3.6223746000,3.5945101800,3.6223746000,13676800,106342209.0000,2
2012-08-15,20120815103000000,sh.600000,3.6223746000,3.6223746000,3.5666457600,3.5805779700,18401900,142380385.0000,2
2012-08-15,20120815113000000,sh.600000,3.5759339000,3.5759339000,3.5109169200,3.5294932000,32344600,246766928.0000,2
